Muzzampur Narayan,MZM,,,,,,
Mysuru Junction,MYS,Karnataka,,,,,
,,,,,,,
N[edit],,,,,,,
,,,,,,,
Station Name,Station Code,State,Railway Zone,Elevation,Map,,
Naya Ghaziabad,GZN,Uttar Pradesh,,,,,
N J Ramanal,NJM,,,,,,
Nabadwip Dham,NDAE,West Bengal,,,,,
Nabha,NBA,Punjab,,,,,
Nadauj,NDU,,,,,,
Nadiad Junction,ND,Gujarat,,,,,
Nandikoor,NAND,Karnatak,KRCL,,,,
Nadikudi,NDKD,Telangana,,,,,
Nagal,NGL,,,,,,
Naganahalli,NHY,,,,,,
Nagaon,NGAN,Assam,NFR/Northeast Frontier,68 m,[146],,
Nagappattinam junction,NGT,Tamil Nadu,,,,,
Nagar,NGE,Rajasthan,,,,,
Nagar Untari,NUQ,Jharkhand,,,,,
Nagercoil Junction,NCJ,Tamil Nadu,,,,,
Nagardevla,NGD,,,,,,
Nagargali,NAG,,,,,,
Nagari,NGI,Andhra Pradesh,,,,,
Nagaria Sadat,NRS,,,,,,
Nagarur,NRR,,,,,,
Nagaur,NGO,Rajasthan,,,,,
Nagbhir Junction,NAB,Maharashtra,,,,,
Nagda Junction,NAD,Madhya Pradesh,,,,,
Nagercoil Town,NGK,Tamil Nadu,,,,,
Nagina,NGG,Uttar Pradesh,,,,,
Naglatula,NGLT,,,,,,
Nagore,NCR,Tamil Nadu,,,,,
Nagpur,NGP,Maharashtra,,,,,
Nagrota,NGRT,Punjab,,,,,
Naharkatiya,NHK,,,,,,
Naharlagun,NHLN,Arunachal Pradesh,NFR/North Frontier,138 m,[147],,
Nahur,,Maharashtra,CR/Central,,,,
Naigaon,NIG,Maharashtra,WR/Western,,,,
Naihati Junction,NH,West Bengal,,,,,
Naikheri,NKI,,,,,,
Naila,NIA,Chhattisgarh,SECR/South East Central,294.40 m,,,
Naini,NYN,Uttar Pradesh,,,,,
Nainpur Junction,NIR,Madhya Pradesh,,,,,
Najibabad Junction,NBD,,,,,,
Nakodar Junction,NRO,,,,,,
Nalanda,NLD,Bihar,,,,,
Nala Sopara,NSP,Maharashtra,WR/Western,,,,
Nalbari,NLV,Assam,NFR/Northeast Frontier,54 m,[148],,
Nalgonda,NLDA,Telangana,,,,,
Nalhati,NHT,West Bengal,,,,,
Naliya,NLY,Gujarat,,,,,
Naliya Cantonment,NLC,Gujarat,,,,,
Nalwar,NW,,,,,,
Namakkal,NMKL,Tamil Nadu,Southern Railways,,,,
Namburu,NBR,,,,,,
Namkom,NKM,Jharkhand,,,,,
Namli,NLI,,,,,,
Namrup,NAM,Assam,,,,,
Nana,NANA,,,,,,
Nana Bhamodra,NBHM,,,,,,
Nanaksar,NNKR,,,,,,
Nandalur,NRE,Andhra Pradesh,,,,,
Nandapur,NDPR,,,,,,
Hazur Sahib Nanded,NED,Maharashtra,,,,,
Nandganj,NDJ,,,,,,
Nandgaon,NGN,Maharashtra,,,,,
Nandgaon Road,NAN,,,,,,
Nandiambakkam,NPKM,Tamil Nadu,SR/Southern,6 m,,,
Nandol Dehegam,NHM,,,,,,
Nandura,NN,Maharashtra,,,,,
Nandurbar,NDB,Maharashtra,,,,,
Nandyal Junction,NDL,Andhra Pradesh,,,,,
Nangal Dam,NLDM,Punjab,,,,,
Nangloi,NNO,Delhi,,,,,
Nanguneri,NNN,Tamil Nadu,,,,,
Nanjangud Town,NTW,Karnataka,,,,,
Nanpara Junction,NNP,,,,,,
Naojan,NJN,,,,,,
Napasar,NPS,Rajasthan|,,,,,
Nar Town,NTN,,,,,,
Naraikkinar,NRK,Tamil Nadu,SR/Southern,50 m,[149],,
Naraina,NRI,Delhi,,,,,
Narangi,NNGE,Assam,NFR/Northeast Frontier,54 m,[150],,
Naranjipur,NRGR,,,,,,
Narasapur,NS,Andhra Pradesh,,,,,
Narasaraopet,NRT,Andhra Pradesh,,,,,
Narayanpet Road,NRPD,,,,,,
Narayanpur,NNR,Assam,,,,,
Narayanpur Anant,NRPA,Bihar,ECR/ East Central Railway,56 m,,,
Nardana,NDN,,,,,,
Narela,NUR,Delhi,,,,,
Nari Road,NROD,,,,,,
Nariaoli,NOI,,,,,,
Narkatiaganj Junction,NKE,Bihar,,68 m,,,
Narkher,NRKR,Maharashtra,,,,,
Narnaul,NNL,Haryana,,,,,
Naroda,NRD,,,,,,
Narsinghpur,NU,Madhya Pradesh,,,,,
Narwana Junction,NRW,Haryana,,,,,
Narwasi,NRWI,,,,,,
Nasik Road,NK,Maharashtra,,,,,
Nasirabad,NSD,,,,,,
Nathdwara,NDT,Rajasthan|,,,,,
Nathwana,NTZ,,,,,,
Naugachia,NNA,Bihar,,,,,
Nauganwan,NGW,,,,,,
Naugarh,NUH,Uttar Pradesh,,,,,
Naupada Junction,NWP,Andhra Pradesh,,,,,
Nautanwa,NTV,Uttar Pradesh,,,,,
Navade Road,,Maharashtra,CR/Central,,,,
Navagadh,NUD,,,,,,
Navalur,NVU,,,,,,
Navapur,NWU,Gujarat,,,,,
Navlakhi,NLK,,,,,,
Navsari,NVS,Gujarat,WR/Western,14 m,[151],,
Nawa City,NAC,Rajasthan|,,,,,
Nawadah,NWD,Bihar,,,,,
Nawagaon,NVG,,,,,,
Nawalgarh,NWH,Rajasthan,,,,,
Nawalgohan,NVLN,,,,,,
Naya Azadpur,NDAZ,Delhi,,,,,
Naya Kharadia,NYK,Rajasthan|,,,,,
Naya Nangal,NNGL,Punjab,,,,,
Nayadupeta,NYP,Andhra Pradesh,,,,,
Nayagaon,NYO,Bihar,,,,,
Naydongri,NI,,,,,,
Nazareth,NZT,Tamil Nadu,,,,,
Nazirganj,NAZJ,,,,,,
Nekonda,NKD,Telangana,,,,,
Nellimaria,NML,,,,,,
Nellore,NLR,Andhra Pradesh,,,,,
Nemilichery,NEC,Tamil Nadu,SR/Southern,32.05 m,,,
Nemom,NEM,Kerala,SR/Southern,23.716 m,,,
Nenpur,NEP,,,,,,
Nepalganj Road,NPR,Uttar Pradesh,,,,,
Nepanagar,NPNR,Madhya Pradesh,,,,,
Neral,NRL,Maharashtra,CR/Central,,,,
Nergundi,NRG,,,,,,
Neri,NERI,Uttar Pradesh,NR/Northern,149 m,[152],,
Nerul,NU,Maharashtra,Harbour/Trans-Harbour (CR),,,,
Netawal,NTWL,,,,,,
New Alipurduar,NOQ,West Bengal,,,,,
New Bhuj,NBUJ,Gujarat,,,,,
New Bhuj,NBVJ,,,,,,
New Bongaigaon Junction,NBQ,Assam,NFR/Northeast Frontier,59 m,[153],,
New Cooch Behar,NCB,West Bengal,,,,,
New Delhi,NDLS,Delhi NCT,NR/Northern,215 m,[154],,
New Farakka Junction,NFK,West Bengal,,,,,
New Gitldada Junction,NGTG,,,,,,
New Guntur,NGNT,Andhra Pradesh,,,,,
New Jalpaiguri,NJP,West Bengal,NFR,,,,
New Mal Junction,NMZ,West Bengal,,,,,
New Maynaguri,NMX,West Bengal,,,,,
New Misamari,NMM,Assam,NFR/Northeast Frontier,93 m,[155],,
Neyveli,NVL,Tamil Nadu,,,,,
Neyyattinkara,NYY,Kerala,SR/Southern,11 m,[156],,
Ngrjunanagaramu,NGJN,,,,,,
Nibhapur,NBP,,,,,,
Nidadavolu Junction,NDD,Andhra Pradesh,,,,,
Nidamangalam Junction,NMJ,Tamil Nadu,,,,,
Nidubrolu,NDO,Andhra Pradesh,,,,,
Nigohan,NHN,,,,,,
Nihalgarh,NHH,Uttar Pradesh,,,,,
Nilaje,,Maharashtra,CR/Central,,,,
Nilambazar,NLBR,Assam,NFR/Northeast Frontier,20 m,[157],,
Nilambur Road,NIL,Kerala,,,,,
Nileshwar,NLE,,,,,,
Nilokheri,NLKR,Haryana,,,,,
Nim Ka Thana,NMK,Rajasthan,,,,,
Nimach,NMH,Madhya Pradesh,,,,,
Nimar Kheri,NKR,,,,,,
Nimbahera,NBH,Rajasthan|,,,,,
Nimbhora,NB,,,,,,
Nimtita,NILE,West Bengal,,,,,
Nindhar Benar,NDH,Rajasthan,,,,,
Ningala Junction,NGA,,,,,,
Nipani Vadgaon,NPW,,,,,,
Niphad,NR,,,,,,
Nira,NIRA,,,,,,
Nirakarpur,NKP,Odisha,,,,,
Nirmali,NMA,,,,,,
Nisui,NSU,,,,,,
Nivari,NEW,,,,,,
Nivasar,NIV,,,,,,
Nizamabad,NZB,Telangana,SCR/South Central Railway,384 m,,,
Nizampur,NIP,,,,,,
Nizbarganj,NBX,,,,,,
Nizchatia,NCA,,,,,,
Noamundi,NOMD,Odisha,,,,,
Nohar,NHR,Rajasthan,,,,,
Nokha,NOK,RajasthanRajasthan,,,,,
Nomoda,NMD,,,,,,
Nonera,NNE,,,,,,
Norla Road,NRLR,Odisha,,,,,
North Lakhimpur,NLP,Assam,,,,,
Nosaria,NOA,,,,,,
Nowrozabad,NRZB,,,,,,
Noyal,NOY,,,,,,
Narayanpur Tatwar,NNW,,,,,,
Nua,NUA,,,,,,
Nunkhar,NRA,,,,,,
Nurmahal,NRM,,,,,,
,,,,,,,
O[edit],,,,,,,
,,,,,,,
Station Name,Station Code,State,Railway Zone,Elevation,Map,,
Okha,OKHA,Gujarat,WR/Rajkot,5m,,,
Old Delhi Junction,DLI,Delhi,NR/Old Delhi,219m,,,
Old Malda Junction,OMFL,West Bengal,NFR/Katihar,31m,,,
Ondagram,ODM,West Bengal,SER/Adra,76m,,,
Ongole,OGL,Andhra Pradesh,SCR/Vijayawada,12m,,,
Orai,ORAI,Uttar Pradesh,NCR/Jhansi,139m,,,
Ottapalam,OTP,Kerala,SR/Palghat,30m,,,
Ooragaum,OGM,Karnataka,SWR/Bangalore,867m,,,
,,,,,,,
P[edit],,,,,,,
,,,,,,,
Station Name,Station Code,State,Railway Zone,Elevation,Map,,
Pabai,PAI,,,,,,
Pabli Khas,PQY,Uttar Pradesh,,,,,
Pachrukhi,PCK,,,,,,
Pachhapur,PCH,,,,,,
Pachor Road,PFR,,,,,,
Pachora Junction,PC,Maharashtra,Central Railway,,,,
Paddhari,PDH,Gujarat,Western Railway,70 m,[158],,
Padhegaon,PDGN,,,,,,
Padrauna,POU,Uttar Pradesh,,,,,
Padse,PDP,,,,,,
Padubidri,PDD,Karnataka,,,,,
Pagara,PGA,,,,,,
Pahara,PRE,,,,,,
Paharpur,PRP,,,,,,
Pajian,PJA,,,,,,
Pakala Junction,PAK,Andhra Pradesh,,,,,
Pakki,PKK,,,,,,
Pakur,PKR,Jharkhand,,,,,
Palachauri,PCLI,,,,,,
Palam,PM,Delhi,,,,,
Palampur Himachal,PLMX,Himachal Pradesh,,,,,
Palampur HP OA,PLMA,,,,,,
Palana,PAE,,,,,,
Palani,PLNI,Tamil Nadu,,,,,
Palanpur Junction,PNU,Gujarat,,,,,
Palappuram,PLPM,Kerala,,,,,
Palasa,PSA,Andhra Pradesh,,,,,
Palasdari,,Maharashtra,CR/Central,,,,
Paldhi,PLD,,,,,,
Pahlejaghat Junction,PHLJ,Bihar,,,,,
Palej,PLJ,,,,,,
Palghar,PLG,Maharashtra,WR/Western,,,,
Palakkad Junction,PGT,Kerala,,,,,
Palakkad Town,PGTN,Kerala,,,,,
Palakollu,PKO,Andhra Pradesh,South Central Railway,1.9 m approx,,,
Pali Marwar,PMY,Rajasthan,,,,,
Palia,PLA,,,,,,
Palia Kalan,PLK,Uttar Pradesh,,,,,
Palitana,PIT,Gujarat,,,,,
Palpara,PXR,,,,,,
Palsana,PLSN,,,,,,
Palsora Makrawa,PSO,,,,,,
Palwal,PWL,Haryana,,,,,
Pamban Junction,PBM,Tamil Nadu,,,,,
Panagarh,PAN,West Bengal,,,,,
Panbari,PNB,Assam,NFR/Northeast Frontier,53 m,[159],,
Panch Pipila,PCN,Madhya Pradesh,,,,,
Panch Rukhi,PHRH,,,,,,
Pancharatna,PNVT,Assam,NFR/Northeast Frontier,49 m,[160],,
Panchgram,PNGM,Assam,NFR/Northeast Frontier,28 m,[161],,
Panchtalavda Rd,PCT,,,,,,
Pandavapura,PANP,,,,,,
Pandaravadai,PDV,Tamil Nadu,SR/Southern railway,37 m,[162],,
Pandharpur,PVR,Maharashtra,,,,,
Pandhurna,PAR,Madhya Pradesh,,,,,
Pandoli,PMO,,,,,,
Paneli Moti,PLM,,,,,,
Paniahwa,PNYA,,,,,,
Panikhaiti,PHI,Assam,NFR/Northeast Frontier,55 m,[163],,
Panipat Junction,PNP,Haryana,,,,,
Panitola,PNT,,,,,,
Panjhan,PJN,,,,,,
"Panki, Kanpur",PNK,Uttar Pradesh,NCR/North Central Railway,,,,
Panruti,PRT,,,,,,
Panskura Junction,PKU,West Bengal,,,,,
Pantnagar,PBW,Uttarakhand,,,,,
Panvel,PNVL,Maharashtra,CR/Central/Harbour,,,,
Papanasam,PML,Tamil Nadu,,,,,
Paradgaon,PDG,,,,,,
Paralakhemundi,PLH,,Odisha,,,,
Paramakkudi,PMK,Tamil Nadu,,,,,
Paras,PS,,,,,,
Parasia,PUX,,,,,,
Parasnath Station,PNME,Jharkhand,East Central Railway,228 m,[164],,
Paravur,PVU,Kerala,SR/Southern railway,,,,
Parbati,PRB,,,,,,
Parbhani Junction,PBN,Maharashtra,,,,,
Pardhande,PHQ,,,,,,
Pardi,PAD,,,,,,
Parel,,Maharashtra,CR/Central,,,,
Parhihara,PIH,,,,,,
Parkham,PRK,,,,,,
Parli,PLL,Kerala,,,,,
Parli Vaijnath,PRLI,Maharashtra,,,,,
Parlu,PRU,,,,,,
Parappanangadi,PGI,Kerala,,,,,
Parsa Bazar,PRBZ,,,,,,
Parsa Khera,PKRA,,,,,,
Parsabad,PSB,,,,,,
Parsipur,PRF,,,,,,
Parsoda,PSD,,,,,,
Partapgarh Junction,PBH,,,,,,
"Partapur, Uttar Pradesh",PRTP,Uttar Pradesh,,,,,
Partur,PTU,Maharashtra,,,,,
Parvatipuram,PVP,Andhra Pradesh,,,,,
Parvatipuram Town,PVPT,Andhra Pradesh,,,,,
Pasur,PAS,,,,,,
Patal Pani,PTP,,,,,,
Patan,PTN,Gujarat,,,,,
Patara,PTRE,,,,,,
Patas,PAA,,,,,,
Pataudi Road,PTRD,Haryana,,,,,
Pathankot Junction,PTK,Punjab,,,,,
Pathankot Cantt,PTKC,Punjab,,,,,
Pathardih Junction,PEH,,,,,,
Patharkandi,PTKD,Assam,NFR/Northeast Frontier,27 m,[165],,
Patharkhola S,PKB,Assam,NFR/Northeast Frontier,124 m,[166],,
Patharia,PHA,,,,,,
Pathauli,PTLI,,,,,,
Pathri,PRI,,,,,,
Pathsala,PBL,Assam,NFR/Northeast Frontier,47 m,[167],,
Patiala,PTA,Punjab,,,,,
Patiladaha,PTLD,Assam,NFR/Northeast Frontier,49 m,[168],,
Patli,PT,Haryana,,,,,
Patna Junction,PNBE,Bihar,,,,,
Patna Saheb,PNC,Bihar,,,,,
Patranga,PTH,Uttar Pradesh,,,,,
Patratu,PTRU,Jharkhand,,,,,
Patsul,PTZ,,,,,,
Pattabiram,PAB,Tamil Nadu,SR/Southern,31 m,,,
Pattabiram West,PRWS,Tamil Nadu,SR/Southern,40 m,,,
Pattabiram East Depot,PRES,Tamil Nadu,SR/Southern,40 m,,,
Pattambi,PTB,Kerala,,,,,
Pattaravakkam,PVM,Tamil Nadu,SR/Southern,16.01 m,,,
Patti,PAX,,,,,,
Pavur Chatram,PCM,,,,,,
Pawapuri Road,PQE,,,,,,
Payagpur,PDR,,,,,,
Payangadi,PAZ,,,,,,
Payyanur,PAY,,,,,,
Payyoli,PYOL,Kerala,,,,,
Peddapalli,PDPL,Telangana,,,,,
Pendra Road,PND,Chhattisgarh,,,,,
Penganga,PGG,Maharashtra,,,,,
Penukonda,PKD,Andhra Pradesh,,,,,
Perambur,PER,Tamil Nadu,SR/Southern,,,,
Perambur Carriage Works,PCW,Tamil Nadu,SR/Southern,7.16 m,,,
Perambur Loco Works,PEW,Tamil Nadu,SR/Southern,7.01 m,,,
Pernem,PERN,Goa,,,,,
Perugamani,PGN,,,,,,
Petlad Junction,PTD,Gujarat,,,,,
Pethanaickenpalayam,PDKM,Tamil Nadu,SR/Southern,262.0 m,,,
Pettaivayatalai,PLI,,,,,,
Phagwara Junction,PGW,Punjab,,,,,
Phakhoagram,PKGM,Assam,NFR/Northeast Frontier,36 m,[169],,
Phalodi,PLC,Rajasthan,,,,,
Phanda,PUD,,,,,,
Phaphamau Junction,PFM,Uttar Pradesh,,,,,
Phaphund,PHD,Uttar Pradesh,NCR/North Central Railway,133 m,,,
Phephna Junction,PEP,Rajasthan,,,,,
Phesar,PES,,,,,,
Phillaur Junction,PHR,Punjab,,,,,
Phulad,FLD,Rajasthan,,,,,
Phulaguri,PUY,Assam,NFR/Northeast Frontier,64 m,[170],,
Phulera Junction,FL,Rajasthan,,,,,
Phulpur,PLP,Uttar Pradesh,,,,,
Pij,PIJ,,,,,,
Pilamedu(Coimbatore),PLMD,Tamil Nadu,,,,,
Pili Bangan,PGK,Rajasthan,,,,,
Pilibhit Junction,PBE,Uttar Pradesh,,,,,
Pilioda,PDZ,,,,,,
Pilkhua,PKW,Uttar Pradesh,,,,,
Pimpar Khed,PKE,,,,,,
Pimpri,PMP,Maharashtra,,,,,
Pindra Road,PDRD,,,,,,
Pingleshwar,PLW,,,,,,
Pipalda Road,POR,Rajasthan,,,,,
Pipalsana,PLS,Uttar Pradesh,,,,,
Pipar Road Junction,PPR,Rajasthan,,,,,
Pipariya,PPI,Madhya Pradesh,,,,,
Piparpur,PPU,,,,,,
Piparsand,POF,,,,,,
Piplaj,PPF,,,,,,
Piplee,PLE,,,,,,
Piplia,PIP,Madhya Pradesh,,,,,
Piplod Junction,PPD,Gujarat,,,,,
Piploda Bagla,PPG,Madhya Pradesh,,,,,
Pipraich,PPC,Uttar Pradesh,,,,,
Pipraigaon,PIA,,,,,,
Piprala,PFL,,,,,,
Pipri Dih,PPH,,,,,,
Pirjhalar,PJH,,,,,,
Pirpainti,PPT,Bihar,,,,,
Pirthiganj,PHV,,,,,,
Pirumadara,PRM,,,,,,
Pirwa,PW,,,,,,
Pitambarpur,PMR,,,,,,
Pithapuram,PAP,Andhra Pradesh,,,,,
Plassey,PLY,West Bengal,,,,,
PMBAKVL_SHANDY,PBKS,,,,,,
Podanur Junction,PTJ,Tamil Nadu,,,,,
Pokhrayan,PHN,Uttar Pradesh,North Central Railway,,,,
Pokran,POK,Rajasthan,,,,,
Pollachi Junction,POY,Tamil Nadu,,,,,
Polur,PRL,Tamil Nadu,,,,,
Ponmalai Golden Rock,GOC,Tamil Nadu,,,,,
Ponneri,PON,Tamil Nadu,,,,,
Porbandar,PBR,Gujarat,,,,,
Potul,POZ,,,,,,
Prachi Road Junction,PCC,,,,,,
Pranpur Road,PQD,Uttar Pradesh,,,,,
Prantij,PRJ,Gujarat,,,,,
Prantik,PNE,,,,,,
Prayag,PRG,Uttar Pradesh,,,,,
Prayag Ghat,PYG,,,,,,
Pritam Nagar,PRNG,,,,,,
Proddatur,PRDT,Andhra Pradesh,,,,,
Puducherry,PDY,Puducherry,,,,,
Pudukad,PUK,,,,,,
Pudukkottai,PDKT,Tamil Nadu,SR/Southern,90 m,[171],,
Pugalur,PGR,,,,,,
Pulgaon Junction,PLO,Maharashtra,,,,,
Punalur,PUU,,,,,,
Punarakh,PHK,,,,,,
Pundhag,PNW,Jharkhand,,,,,
Pune Junction,PUNE,Maharashtra,,,,,
Punkunnam,PNQ,,,,,,
Punpun,PPN,Bihar,,,,,
Puntamba,PB,Maharashtra,,,,,
Purab Sarai,PBS,,,,,,
Puraini,PNI,,,,,,
Puranigudam,PUQ,Assam,NFR/Northeast Frontier,69 m,[172],,
Puranpur,PP,Uttar Pradesh,,,,,
Puri,PURI,Odisha,,,,,
Purna Junction,PAU,Maharashtra,,,,,
Purnia Junction,PRNA,Bihar,,,,,
Purnia Court,PRNC,Bihar,,,,,
Purua Khera,PRKE,,,,,,
Purulia Junction,PRR,West Bengal,,,,,
Puttur,PUT,Andhra Pradesh,,,,,
,,,,,,,
Q[edit],,,,,,,
,,,,,,,
Station Name,Station Code,State,Railway Zone,Elevation,Map,,
Quarry SDG,QRS,SE Railway|,,,,,
,,,,,,,
R[edit],,,,,,,
,,,,,,,
Station Name,Station Code,State,Railway Zone,Elevation,Map,,
Rabale,,Maharashtra,Trans-Harbour (CR),,,,
Radhanpur,RDHP,Gujarat,,,,,
Radhikapur,RDP,West Bengal,,,,,
Rae Bareli Junction,RBL,Uttar Pradesh,,,,,
Rafiganj,RFJ,Bihar,,,,,
Ragaul,RGU,,,,,,
Raghunathpur,RPR,Bihar,,,,,
Raha,RAHA,Assam,NFR/Northeast Frontier,62 m,[173],,
"Rahimabad, India",RBD,,,,,,
Rahimatpur,RMP,,,,,,
Rahul Road,RRE,,,,,,
Rahuri,RRI,Maharashtra,,,,,
Rai Singh Nagar,RSNR,,,,,,
Raibha,RAI,,,,,,
Raichur,RC,Karnataka,,,,,
Raiganj,RGJ,West Bengal,,,,,
Raigarh,RIG,Chhattisgarh,,,,,
Raika Bagh,RKB,Rajasthan,,,,,
Raila Road,RLR,,,,,,
Raimehatpur,MTPR,,,,,,
Raipur Junction,R,Chhattisgarh,,,,,
Rairakhol,RAIR,Odisha,,,,,
Raisi,RSI,,,,,,
Raiwala,RWL,Uttarakhand,,,,,
Raj Gangpur,GP,Odisha,,,,,
Raj Nandgaon,RJN,Chhattisgarh,,,,,
Raja Bhat Khawa,RVK,,,,,,
Raja Ka Sahaspur,RJK,Uttar Pradesh,,,,,
Raja Ki Mandi,RKM,Uttar Pradesh,North Central Railway,,,,
Rajaldesar,RJR,Rajasthan,,,,,
Rajamundry,RJY,Andhra Pradesh,,,,,
Rajapalayam,RJPM,Tamil Nadu,,,,,
Rajapur Road,RAJP,Maharashtra,,,,,
Rajawari,RJI,,,,,,
Rajendranagar Terminal,RJQ,Bihar,,,,,
Rajgarh,RHG,Rajasthan,,,,,
Rajghat Narora,RG,Uttar Pradesh,,,,,
Rajgir,RGD,Bihar,,,,,
Rajhura,RHR,,,,,,
Rajiyasar,RJS,,,,,,
Rajkharsawan Junction,RKSN,Jharkhand,,,,,
Rajkot Junction,RJT,Gujarat,,,,,
Rajlu Garhi,RUG,,,,,,
Rajmahal,RJL,Jharkhand,,,,,
Rajmane,RM,,,,,,
Rajosi,ROS,,,,,,
Rajpipla,RAJ,Gujarat,,,,,
Rajpura Junction,RPJ,Punjab,,,,,
Rajula City,RJU,,,,,,
Rajula Junction,RLA,,,,,,
Rajur,RAJR,,,,,,
Rakha Mines,RHE,,,,,,
Rakhi,RHI,Rajasthan,,,,,
Ram Chaura Road,RMC,,,,,,
Raman,RMN,Punjab,,,,,
Ram Dayalu Nagar,RD,Muzaffarpur,,,,,
Ramanagaram,RMGM,Karnataka,,,,,
Ramanathapuram,RMD,Tamil Nadu,,,,,
Ramdevra,RDRA,Rajasthan,,,,,
Rameswaram,RMM,Tamil Nadu,,,,,
Ramganga,RGB,Uttar Pradesh,,,,,
Ramganj,RMGJ,,,,,,
Ramganj Mandi,RMA,Rajasthan,,,,,
Ramgarh Cantonment,RMT,Jharkhand,,,,,
Ramgarhwa,RGH,Bihar,,,,,
Ramagundam,RDM,Telangana,,,,,
Ramkola,RKL,,,,,,
Ramna,RMF,,,,,,
Ramnagar,RMR,Uttarakhand,,,,,
Rampur,RMU,Uttar Pradesh,,,,,
Rampur Dumra,RDUM,,,,,,
Rampur Hat,RPH,West Bengal,,,,,
Rampura Phul,PUL,,,,,,
Ramsan,RXN,Gujarat,,,,,
Ramsar,RMX,Rajasthan,,,,,
Ramtek,RTK,Maharashtra,,,,,
Rana Bordi,RNBD,,,,,,
Ranaghat Junction,RHA,West Bengal,,,,,
Ranala,RNL,,,,,,
Ranapratapnagar,RPZ,Rajasthan,,,,,
Ranavav,RWO,,,,,,
Marwar Ranawas,MRWS,Rajasthan,,,,,
Ranchi,RNC,Jharkhand,SER/SouthEastern,632 m,[174],,
Ranchi Road,RRME,Jharkhand,,,,,
Rangapara North,RPAN,Assam,,,,,
Rangiya Junction,RNY,Assam,NFR/Northeast Frontier,53 m,[175],,
Rangjuli,RGJI,Assam,NFR/Northeast Frontier,50 m,[176],,
Rangmahal,RMH,,,,,,
Rani,RANI,Rajasthan,,,,,
Ranibennur,RNR,Karnataka,,,,,
Raniganj,RNG,West Bengal,,,,,
Ranipur Road,RNRD,,,,,,
Raniwara,RNV,Rajasthan,,,,,
Ranjangaon Rd,RNJD,Maharashtra,,,,,
Ranjani,RNE,,,,,,
Ranoli,RNO,,,,,,
Ranolishishu,RNIS,,,,,,
Ranpur,RUR,,,,,,
Ranthambhore,RNT,Rajasthan,,,,,
Ranuj,RUJ,,,,,,
Rasra,RSR,,,,,,
Rasulabad,RUB,,,,,,
Rasull,RES,,,,,,
Rasuriya,RYS,,,,,,
Rasipuram,RASP,Tamil Nadu,SR,,,,
Ratabari,RTBR,Assam,NFR/Northeast Frontier,38 m,[34],,
Ratan Shahr,RSH,Rajasthan,,,,,
Ratangaon,RTGN,,,,,,
Ratangarh Junction,RTGH,Rajasthan,,,,,
Ratangarh West,RXW,Rajasthan,,,,,
Ratanpura,RTP,,,,,,
Rathdhana,RDDE,Haryana,,,,,
Ratlam Junction,RTM,Madhya Pradesh,,,,,
Ratnagiri,RN,Maharashtra,KR / Konkan Railway,129 m,[177],,
Ratnal,RUT,,,,,,
Rau,RAU,,,,,,
Rauzagaon,RZN,,,,,,
Raver,RV,Maharashtra,,,,,
Rawania Dungar,RWJ,,,,,,
Rawatpur(Kanpur),RPO,Uttar Pradesh,,,,,
Raxaul Junction,RXL,Bihar,,,,,
Rayagada,RGDA,Odisha,,,,,
Rayalcheruvu,RLO,Andhra Pradesh,,,,,
Raybag,RBG,,,,,,
Rayadurg,RDG,Anantapur(AP),,,,,
Razampeta,RJP,,,,,,
Reay Road,,Maharashtra,Harbour (CR),,,,
Rechni Road,RECH,,,,,,
Ren,REN,,,,,,
Renigunta Junction,RU,Andhra Pradesh,,,,,
Renukut,RNQ,Uttar Pradesh,,,,,
Renwal,RNW,,,,,,
Reoti B Khera,RBK,,,,,,
Repalle,RAL,Andhra Pradesh,,,,,
Rethorakalan,RAKL,,,,,,
Rewa Terminal,REWA,Madhya Pradesh,,,,,
Rewari Junction,RE,Haryana,,,,,
Richha Road,RR,Uttar Pradesh,North Eastern Railway zone,200m,,,
Richughutu,RCGT,,,,,,
Ridhore,RID,,,,,,
Ringas Junction,RGS,Rajasthan,,,,,
Risama,RSA,,,,,,
Rishikesh,RKSH,Uttarakhand,,,,,
Rishra,RIS,West Bengal,,,,,
Risia,RS,,,,,,
Rithi,REI,,,,,,
Rajendar Nagar Bihar,RJPB,Bihar,,,,,
Ramgarh Shekhwati,RSWT,Rajasthan,,,,,
Raninagar Jalpaiguri,RQJ,West Bengal,,,,,
Robertsganj,RBGJ,Uttar Pradesh,NCR,301 m,,,
Roha,ROH,Maharashtra,KR / Konkan Railway,10 m,[178],,
Rohana Kalan,RNA,Uttar Pradesh,,,,,
Rohini,RHNE,Maharashtra,,,,,
Rohtak Junction,ROK,Haryana,,,,,
Roorkee,RK,Uttarakhand,,,,,
Rora,RORA,,,,,,
Roshanpur,RHN,,,,,,
Rotegaon,RGO,,,,,,
Rourkela,ROU,Odisha,,,,,
Rowta Bagan,RWTB,,,,,,
Roza Junction,RAC,Uttar Pradesh,,,,,
Rudauli,RDL,,,,,,
Rudrapur City,RUPC,Uttarakhand,,,,,
Rudrapur Road,RUPR,,,,,,
Rukadi,RKD,,,,,,
Runija,RNJ,,,,,,
Runkhera,RNH,,,,,,
Rupaheli,RPI,,,,,,
Rupahigaon,RUP,Assam,NFR/Northeast Frontier,69 m,[179],,
Rupamau,RUM,,,,,,
Rupaund,RPD,,,,,,
