Badmal,BUDM,Odisha,,,,,
Baad,BAD,Uttar Pradesh,,,,,
Badami,BDM,Karnataka,,,,,
Badampahar,BMPR,Jharkhand,,,,,
Badampudi,BPY,Andhra Pradesh,,,,,
Badurpur Ghat,BPG,Assam,NFR/Northeast Frontier,27 m,[19],,
Badarpur Junction,BPB,Assam,NFR/Northeast Frontier,23 m,[20],,
Badausa,train,Uttar Pradesh,,,,,
Badgam,BDGM,Jammu & Kashmir,1668 m,,,,
Badhada,BDHA,Gujarat,,,,,
Badhal,BDHL,Rajasthan,,,,,
Badlapur,BUD,Maharashtra,CR/Central,,,,
Badli,BHD,Delhi,,,,,
Badnapur,BDU,Maharashtra,,,,,
Badnera Junction,BD,Maharashtra,,,,,
Badshahnagar,BNZ,Uttar Pradesh,,,,,
Badshahpur,BSE,Haryana,,,,,
Badwasi,BWS,Rajasthan,,,,,
Bagaha,BUG,Bihar,,,,,
Bagalkot,BGK,Karnataka,,,,,
Bagbahra,BGBR,Chhattisgarh,,,,,
Bagetar,BF,Assam,NFR/Northeast Frontier,515 m,[21],,
Bagevadi Rd,BSRX,Karnataka,,,,,
Baghauli,BGH,Uttar Pradesh,,,,,
Baghora,BJQ,Madhya Pradesh,,,,,
Bagra Tawa,BGTA,Madhya Pradesh,,,,,
Bagri Nagar,BQN,,,,,,
Bagri Sajjanpur,BGX,,,,,,
Bagwali,BWB,,,,,,
Bahadur Singh W,BSS,,,,,,
Bahadurgarh,BGZ,Haryana,,,,,
Bahadurpur,BPD,,,,,,
Baheri,BHI,,,,,,
Bahilpurwa,BIP,,,,,,
Bahirkhand,BHAW,West Bengal,Eastern Railway,,,,
Bahjoi,BJ,,,,,,
Bahraich,BRK,Uttar Pradesh,,,,,
Baidyanathdham,BDME,Jharkhand,,,,,
Baihata Chariali,BIZ,Assam,NFR/Northeast Frontier,55 m,[22],,
Baiguda,BGUA,Odisha,,,,,
Baijnathpur,BYP,,,,,,
Baikunthpur Rd,BRH,Chhattisgarh,,,,,
Bainchi / Boinchi,BOI,West Bengal,ER/Eastern Railway,,,,
Bairabi (Bhairabi),BHRB,Mizoram,NFR/Northeast Frontier,48 m,[23],,
Bairapur,BIP,Madhya Pradesh,,,,,
Bairagnia,BGU,,,,,,
Baitalpur,BALR,,,,,,
Bajva,BJW,,,,,,
Bakhtiyarpur Junction,BKP,Bihar,,,,,
Bakra Road,BK,Rajasthan,,,,,
Balaghat,BTC,Madhya Pradesh,,,,,
Balamau Junction,BLM,Uttar Pradesh,,,,,
Balangir,BLGR,Odisha,,,,,
Balasore,BLS,Odisha,,,,,
Balauda Takun,BLDK,,,,,,
Balawala,BLWL,,,,,,
Balawali,BLW,,,,,,
Balharshah,BPQ,Maharashtra,,,,,
Baliakheri,BAE,,,,,,
Balikotia,BKS,Assam,NFR/Northeast Frontier,67 m,[24],,
Balipara,BVU,Assam,,,,,
Ballabhgarh,BVH,Haryana,,,,,
Balli,BLLI,,,,,,
Ballia,BUI,Uttar Pradesh,,,,,
Ballupur,BAPR,Uttar Pradesh,,,,,
Bally,BLY,West Bengal,ER/Eastern Railway,,,,
Ballygunge Junction,BLN,West Bengal,,,,,
Balrampur,BLP,Madhya Pradesh,,,,,
Balsamand,BLSD,,,,,,
Balugan,BALU,Odisha,,,,,
Balwa,WAB,,,,,,
Balwara,BAWA,Rajasthan,,,,,
Bamangachhi,BMG,West Bengal,ER/Eastern Railway,,,,
Bamanheri,BMHR,,,,,,
Bamhani,BMW,,,,,,
Bamla,BMLL,Haryana,,,,,
Bamnia,BMI,,,,,,
Bamsin,BMSN,Rajasthan,,,,,
Bamra,BMB,Odisha,,,,,
Bamsin,BMSN,,,,,,
Bamuni Gaon,BGMN,Assam,NFR/Northeast Frontier,48 m,[25],,
Banahi,BYN,,,,,,
Banapura,BPF,Madhya Pradesh,,,,,
Banar,BNO,Rajasthan,,,,,
Banarhat,BNQ,West Bengal,ER/Eastern Railway,,,,
Banas,BNS,Rajasthan,,,,,
Banaswadi,BAND,[Karnataka],SWR/South Western Railway,,,,
Banasandra,BSN,Karnataka,SWR/South Western Railway,,,,
Banbasa,BNSA,,,,,,
Banda Junction,BNDA,Uttar Pradesh,,,,,
Bandakpur,BNU,,,,,,
Bandanwara,BDW,Rajasthan,,,,,
Bandarkhal,BXK,Assam,NFR/Northeast Frontier,104 m,[26],,
Bandel Junction,BDC,West Bengal,ER/Eastern Railway,,,,
Bandh Bareta,BR,,,,,,
Bandikui Junction,BKI,Rajasthan,,,,,
Bandra,BA,Maharashtra,WR/Western/Harbour (CR),,,,
Bandra Terminus,BDTS,Maharashtra,WR/Western,,,,
Bangalore Cantonment,BNC,Karnataka,SWR/South Western Railway,,,,
Bangalore City Junction,SBC,Karnataka,SWR/South Western Railway,[27],,,
Bangalore East,BNCE,Karnataka,SWR/South Western Railway,,,,
Bangarapet,BWT,Karnataka,SWR/South Western Railway,,,,
Bangarapet,BWY,Karnataka,SWR/South Western Railway,,,,
Bangrod,BOD,,,,,,
Bani,BANI,,,,,,
Baniya Sanda DH,BSDA,,,,,,
Bankata,BTK,,,,,,
Bankura,BQA,West Bengal,ER/Eastern Railway,,,,
Bankura,BQK,West Bengal,ER/Eastern Railway,,,,
Banmankhi Junction,BNKI,Bihar,,,,,
Banmor,BAO,,,,,,
Bansdih Road,BCD,,,,,,
Banshlai Bridge,BSBR,,,,,,
Bansi Paharpur,BIQ,,,,,,
Bansipur,BSQP,,,,,,
Banasthali Niwai,BNLW,Rajasthan,,,,,
Banta Raghunathgarh,BGG,,,,,,
Bantawala,BNTL,Karnataka,,,,,
Banthra,BTRA,,,,,,
Banwali,BWC,,,,,,
Baori Thikria,BOTI,,,,,,
Bapatla,BPP,Andhra Pradesh,,,,,
Bar,BAR,,,,,,
Bara Jamda,BJMD,Jharkhand,,,,,
Barabanki Junction,BBK,Uttar Pradesh,,,,,
Barabhum,BBM,West Bengal,ER/Eastern Railway,,,,
Barbil,BBN,Odisha,,,,,
Baradwar,BUA,,,,,,
Baragaon,BNM,,,,,,
Barahu,BRHU,Assam,NFR/Northeast Frontier,58 m,[28],,
Baraigram Junction,BRGM,Assam,NFR/Northeast Frontier,24 m,[29],,
Barakar,BRR,West Bengal,ER/Eastern Railway,,,,
Baral,BARL,,,,,,
Baramati,BRMT,Maharashtra,,,,,
Baran,BAZ,Rajasthan,,,,,
Baranagar,BARN,West Bengal,ER/Eastern Railway,,,,
Barara,RAA,Haryana,,,,,
Barasat Junction,BT,West Bengal,ER/Eastern Railway,,,,
Barauni Junction,BJU,Bihar,,,,,
Barbatpur,BBTR,,,,,,
Barchi Road,BCRD,,,,,,
Barddhaman Junction,BWN,West Bengal,ER/Eastern Railway,,,,
Bardoli,BIY,Gujarat,,,,,
Bareilly,BE,Uttar Pradesh,Northern Railways,,,,
Bareilly,BRY,Uttar Pradesh,North Eastern Railways,,,,
Bareilly Cantt,BRYC,Uttar Pradesh,Northern Railways,,,,
Barejadi,BJD,,,,,,
Bareta,BRZ,,,,,,
Bareth,BET,Madhya Pradesh,,,,,
Bargarh Road,BRGA,Odisha,,,,,
Bargawan,BRGW,,,,,,
Barh,BARH,Bihar,,,,,
Barhan,BRN,,,,,,
Barharwa Junction,BHW,Jharkhand,ECR/East Central Railway,,,,
Barhiya,BRYA,Bihar,,,,,
Barhni,BNY,Uttar Pradesh,,,,,
Bari Brahman,BBMN,Jammu & Kashmir,,,,,
Bariarpur,BUP,Bihar,,,,,
Barkakana,BRKA,Jharkhand,,,,,
Barkur,BKJ,Karnataka,KRCL,,,,
Barlai,BLAX,,,,,,
Barmer,BME,Rajasthan,NWR/Notrh Western Railway,,,,
Barnagar,BNG,West Bengal,ER/Eastern Railway,,,,
Barnala,BNN,Punjab,,,,,
Barog,BOF,Himachal Pradesh,,,,,
Barpali,BRPL,Odisha,,,,,
Barpeta Road,BPRD,Assam,NFR/Northeast Frontier,51 m,[30],,
Barrackpore,BP,West Bengal,ER/Eastern Railway,,,,
Barsathi,BSY,,,,,,
Barsi Takli,BSQ,Maharashtra,,,,,
Barsi Town,BTW,Maharashtra,,,,,
Barsoi Junction,BOE,Bihar,,,,,
Barsola,BZO,,,,,,
Barsuan,BXF,Odisha,,,,,
Bartara,BTRA,Uttar Pradesh,,,,,
Baruva,BAV,,,,,,
Baruipur Junction,BRP,West Bengal,,,,,
Barwa Sagar,BWR,,,,,,
Barwadih Junction,BRWD,Jharkhand,,,,,
Barwaha,BWW,,,,,,
Barya Ram,BYHA,,,,,,
Basai,BZY,,,,,,
Basar,BSX,Telangana,,,,,
Basbari,BSI,Assam,NFR/Northeast Frontier,47 m,[31],,
Basharatganj,BTG,,,,,,
Basi Kiratpur,BSKR,,,,,,
Basin Bridge,BBQ,Tamil Nadu,SR/Southern,7 m,,,
Basmat,BMF,Maharashtra,,,,,
Basni,BANE,Rajasthan,,,,,
Bassi Pathana,BSPN,Punjab,,,,,
Basta,BTS,Odisha,SER/South Eastern Railway,,,,
Basti,BST,Uttar Pradesh,,,,,
Basugaon,BSGN,Assam,NFR/Northeast Frontier,53 m,[32],,
Baswa,BU,,,,,,
Batadrowa Road,BTDR,Assam,NFR/Northeast Frontier,69 m,[33],,
Batala Junction,BAT,Punjab,,,,,
Bauria Junction,BVA,West Bengal,SER/South Eastern Railway,,,,
Bavla,VLA,,,,,,
Bawal,BWL,Haryana,,,,,
Bawani Khera,BWK,Haryana,,,,,
Bayana Junction,BXN,Rajasthan,,,,,
Baytu,BUT,,,,,,
Bazida Jatan,BZJT,Haryana,,,,,
Bazpur,BPZ,Uttarakhand,,,,,
Bazurghat,BZGT,Assam,NFR/Northeast Frontier,37 m,[34],,
Beas,BEAS,Punjab,,,,,
Beawar,BER,Rajasthan,,,,,
Begunkodor,,West BengalER/Eastern Railway,,,,,
Bedetti,BVV,,,,,,
Begampet,BMT,Telangana,,,,,
Begu Sarai,BGS,Bihar,,,,,
Behtagokul,BEG,,,,,,
Behula,,West Bengal,ER/Eastern Railway,,,,
Bejnal,BJN,,,,,,
Bela Tal,BTX,Uttar Pradesh,,,,,
Belampalli,BPA,Telangana,,,,,
Belapur,BAP,Maharashtra,CR/Central Railways,,,,
Belgahna,BIG,,,,,,
Belgharia,BEL,WEST BENGAL,,,,,
Belgaum,BGM,Karnataka,SWR/South Western Railway,,,,
Belha,BYL,,,,,,
Bellary Junction,BAY,Karnataka,SWR/South Western Railway,,,,
Bellary Cantonment,BYC,Karnataka,SWR/South Western Railway,,,,
Belpahar,BPH,Odisha,,,,,
Belrayan,BXM,,,,,,
Belsiri,BLRE,,,,,,
Belthara Road,BLTR,Uttar Pradesh,,,,,
Belur,BEQ,,,,,,
Belvandi,BWD,,,,,,
Beohari,BEHR,Madhya Pradesh,,,,,
Berchha,BCH,Madhya Pradesh,,,,,
Berhampore Court,BPC,West Bengal,ER/Eastern Railway,,,,
Brahmapur,BAM,Odisha,,,,,
Besroli,BSRL,,,,,,
Betavad,BEW,,,,,,
Bettiah,BTH,Bihar,,,,,
Betul,BZU,Madhya Pradesh,,,,,
Bhabhar,BAH,,,,,,
Bhabua Road,BBU,Bihar,ECR/East Central Railway,,,,
Bhachau,BCO,Gujarat,,,,,
Bhachau BG,BCOB,Gujarat,,,,,
Bhadan,BDN,Uttar Pradesh,NCR/North Central Railway,,,,
Bhadaura,BWH,,,,,,
Bhadbhadaghat,BVB,,,,,,
Bhadli,BDI,,,,,,
Bhadohi,BOY,Uttar Pradesh,,,,,
Bhadra,BHD,Rajasthan,,,,,
Bhadrachalam Road,BDCR,Telangana,,,,,
Bhadrak,BHC,Odisha,,,,,
Bhadran,,Gujarat,,,,,
Bhadravati,BDVT,Karnataka,SWR/South Western Railway,,,,
Bhadroli,BBY,,,,,,
Bhaga Junction,VAA,,,,,,
Bhagalpur,BGP,Bihar,,,,,
Bhagat Ki Kothi,BGKT,Rajasthan,NWR/North Western Railway,,,,
Bhagega,BAGA,,,,,,
Bhagtanwala,BGTN,,,,,,
Bhagwanpur,BNR,,,,,,
Bhagwanpura,BGPR,,,,,,
Bhaini Khurd,BZK,Haryana,,,,,
Bhairongarh,BOG,,,,,,
Bhakti Nagar,BKNG,Gujarat,129.63,,,,
Bhalki,BHLK,Karnataka,SCR/South Central Railway,,,,
Bhalumaska,BLMK,Odisha,ECoR/East Coastal Railway,,,,
Bhanapur,BNP,,,,,,
Bhandak,BUX,Maharashtra,,,,,
Bhandara Road,BRD,Maharashtra,,,,,
Bhandup,,Maharashtra,CR/Central,,,,
Bhanga,BXG,Assam,NFR/Northeast Frontier,21 m,[35],,
Bhankoda,BKD,,,,,,
Bharat Kup,BTKP,,,,,,
Bharatkund,BTKD,,,,,,
Bharatpur Junction,BTE,Rajasthan,,,,,
Bharatwada,BWRA,,,,,,
